BusStopCode,RoadName,Description,Latitude,Longitude
01012,Victoria St,Hotel Grand Pacific,1.29684825487647,103.85253591654006
01013,Victoria St,St. Joseph's Ch,1.29770970610083,103.8532247463225
01019,Victoria St,Bras Basah Cplx,1.29698951191332,103.85302201172507
01029,Nth Bridge Rd,Opp Natl Lib,1.2966729849642,103.85441422464267
01039,Nth Bridge Rd,Bugis Cube,1.29820784139683,103.85549139837407
01059,Victoria St,Bugis Stn Exit B,1.30075679526626,103.85611040457583
01109,Queen St,Queen St Ter,1.30358577565355,103.85650372998224
01112,Victoria St,Opp Bugis Stn Exit C,1.30009212839081,103.85520027125814
01113,Victoria St,Bugis Stn Exit A,1.30117297541547,103.8561140106393
01119,Victoria St,Aft Bugis Stn Exit C,1.2996041093804,103.85512934079571
01121,Victoria St,Stamford Pr Sch,1.30393809691048,103.85867999243207
01129,Victoria St,Opp Stamford Pr Sch,1.30350269187301,103.85864530718491
01139,Nth Bridge Rd,Parkview Sq,1.30033057855542,103.85716080665901
01211,Victoria St,Opp Blk 461,1.30551803523268,103.8605449516032
01219,Victoria St,Blk 461,1.30526598535719,103.86072019914616
01229,Nth Bridge Rd,Bef Sultan Mque,1.30337552638813,103.85963089198265
01231,Jln Sultan,Opp Textile Ctr,1.3032499999752,103.8610830559663
01239,Jln Sultan,Sultan Plaza,1.30291236608351,103.86161817611134
01311,Kallang Rd,Lavender Stn Exit B,1.3070916463394,103.86219695240973
01319,Kallang Rd,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476
01329,Nth Bridge Rd,Blk 8,1.30495670239172,103.86363028484124
01339,Crawford St,Bef Crawford Bridge,1.30774601733202,103.8642627465441
01341,Crawford St,Southbank,1.30647555600578,103.86452527798744
01349,Crawford St,Opp Blk 4,1.30568635716829,103.86543994417883
01411,Beach Rd,Opp St. John HQ,1.30211332865049,103.86295598167331
01419,Beach Rd,St. John HQ,1.3020199999911,103.86326333301203
01421,Beach Rd,Opp Golden Mile Cplx,1.30338444400173,103.86483888898641
01429,Beach Rd,Golden Mile Cplx,1.3032136089394,103.86501584807763
01511,Beach Rd,Opp The Gateway,1.29919826103807,103.85864518302436
01519,Beach Rd,The Gateway,1.29907492488417,103.8589102973441
01521,Beach Rd,Opp Plaza Parkroyal,1.30088304437602,103.86066098182194
01529,Beach Rd,Plaza Parkroyal,1.30041667676526,103.86044115259938
01541,Rochor Rd,Bugis Stn Exit D,1.29886465442254,103.85734583628746
01549,Ophir Rd,Opp Duo Residences,1.30069868861162,103.85873120467069
01559,Ophir Rd,Landmark Village Hotel,1.30168731070562,103.85752923961614
01611,Beach Rd,Aft Raffles Hotel,1.29527259171342,103.85533686181174
01619,Beach Rd,Esplanade Stn Exit F,1.29428694178246,103.85503809424233
01621,Beach Rd,Opp Shaw Twrs,1.29695888888745,103.85655611109846
01629,Beach Rd,Shaw Twrs,1.297085,103.856894
01631,Middle Rd,Aft Beach Rd,1.29693614589482,103.85580555528077
01639,Middle Rd,Bef Beach Rd,1.29738750001468,103.85557583297624
02029,Esplanade Dr,Aft Esplanade Stn Exit D,1.290106,103.85464
02049,Bras Basah Rd,Raffles Hotel,1.29452091230981,103.85402155505173
02051,Raffles Ave,The Float @ Marina Bay,1.2895030556082,103.85903388899317
02061,Raffles Ave,The Esplanade,1.2899638888957,103.85640388886262
02089,Raffles Blvd,Promenade Stn/Pan Pacific,1.29152694444975,103.8592061110504
02099,Raffles Blvd,Marina Ctr Ter,1.29147264805943,103.86148558380779
02101,Raffles Ave,AFT S'PORE FLYER,1.28938483786533,103.86183148116275
02111,Esplanade Dr,Esplanade Bridge,1.29095592348389,103.85453419435228
02119,Nicoll Highway,Opp War Memorial Pk,1.29184407356581,103.85534334305085
02141,Temasek Blvd,Suntec Twr Two,1.29576571603037,103.85933814632858
02149,Temasek Blvd,Suntec Twr Three,1.29560459817725,103.85955533029184
02151,Temasek Blvd,Suntec Convention Ctr,1.29317776320814,103.85784623004031
02159,Temasek Blvd,Opp Suntec Convention Ctr,1.29360811227161,103.85840672828635
02161,Temasek Ave,Promenade Stn,1.29268553508737,103.86093156188176
02169,Temasek Ave,Promenade Stn Exit B,1.29333836780589,103.86070849052753
02171,Temasek Ave,Opp The Ritz-Carlton,1.29070000003898,103.86092194446034
02181,Parliament Pl,Supreme Ct,1.28947444402148,103.85098166700017
03011,Fullerton Rd,Fullerton Sq,1.28561840945474,103.85342223246427
03019,Collyer Quay,OUE Bayfront,1.284245000013,103.85310805599599
03021,Cecil St,Prudential Twr,1.28255524603003,103.84998903789258
03031,Robinson Rd,Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066
03041,Cross St,Telok Ayer Stn Exit A,1.28179509394707,103.84893207391676
03059,Raffles Quay,One Raffles Quay,1.281111,103.851461
03071,Robinson Rd,OPP SO SOFITEL S'PORE,1.27990609626764,103.84940030424481
03111,Robinson Rd,Aft Capital Twr,1.2778259536079,103.8481011719729
03129,Shenton Way,UIC Bldg,1.27807003532092,103.84956718123823
03151,Cecil St,Opp GB Bldg,1.27892124625262,103.84776234627124
03217,Shenton Way,Opp AXA Twr,1.27552218897645,103.8479443674916
03218,Shenton Way,Opp MAS Bldg,1.2740788888387,103.84687388890413
03222,Anson Rd,Hub Synergy Pt,1.27397836925637,103.84489562922414
03223,Anson Rd,Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952
03239,Shenton Way,Shenton Way Ter,1.27464226961973,103.84756721372408
03241,Anson Rd,Mapletree Anson,1.27456,103.84537
03331,Marina Blvd,Bef Marina Gdns Dr,1.27663307202767,103.86076808024792
03339,Central Blvd,Aft Marina Gdns Dr,1.27498516412784,103.85950016250487
03341,Marina Gdns Dr,Bef Gdns by the Bay,1.27959780011944,103.8643376844082
03349,Marina Gdns Dr,Aft Gdns by the Bay,1.27965600609923,103.8647780795552
03361,Marina Gdns Dr,Opp Marina Barrage,1.279917,103.868895
03369,Marina Gdns Dr,Marina Barrage,1.27960772061959,103.8698744774074
03371,Marina Gdns Dr,Gdns by the Bay,1.28066479303461,103.86626955523418
03381,Marina Blvd,The Sail,1.28162601329006,103.85306513725685
03391,Marina Blvd,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988
03411,Marina Coastal Dr,Opp Marina Sth Pier Stn,1.27159299884076,103.86300900488229
03419,Marina Coastal Dr,Marina Sth Pier Stn,1.27127698470973,103.86297693157816
03421,Marina Coastal Dr,Marina Bay Cruise Ctr,1.26694090294712,103.85964778134667
03501,Bayfront Ave,Marina Bay Sands Theatre,1.28500467671367,103.8606110538643
03509,Bayfront Ave,Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891767
03511,Bayfront Ave,Aft Bayfront Stn Exit E,1.28194779470571,103.85897064872482
03519,Bayfront Ave,Bayfront Stn Exit A,1.28124500000125,103.85884799997385
03529,Central Blvd,Downtown Stn,1.27939957419063,103.85278769921703
03539,Central Blvd,Marina Bay Stn,1.2775330547661,103.85561610012866
04019,Bencoolen St,OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305783
04029,Bencoolen St,BEF BENCOOLEN STN EXIT A,1.29948166696821,103.85092666701239
04111,Stamford Rd,Capitol Bldg,1.29395444170081,103.85139096636622
04121,Stamford Rd,SMU,1.29618544092334,103.84958029974611
04142,Hill St,Armenian Ch,1.2930982644668,103.84965994500728
04143,Hill St,Stamford Ct,1.29411640848293,103.85020606905503
04149,Hill St,Grand Pk City Hall,1.29276132399953,103.84983741344308
04151,Victoria St,Cath Of The Good Shepherd,1.29533777799211,103.85113972198121
04159,Victoria St,Aft Chijmes,1.29489484954945,103.85108138663934
04167,Nth Bridge Rd,City Hall Stn Exit B,1.29250006522444,103.85145315468638
04168,Nth Bridge Rd,Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256
04179,Bras Basah Rd,AFT BRAS BASAH STN EXIT A,1.29647916306741,103.85147164487202
04211,River Valley Rd,Clarke Quay,1.29043611099357,103.84712444398055
04219,River Valley Rd,Opp Clarke Quay,1.29096802754795,103.84686777836987
04222,Eu Tong Sen St,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569
04223,Hill St,Old Hill St Police Stn,1.29084476137495,103.84857901022669
04229,Hill St,High St Ctr,1.29044830830726,103.84875123545265
04239,New Bridge Rd,Opp Clarke Quay Stn,1.28882717929599,103.8474938118651
04249,Nth Bridge Rd,Opp The Treasury,1.29043039362749,103.85026216508201
04251,Nth Boat Quay,Opp High St Ctr,1.28973833297563,103.84888472198024
04311,Clemenceau Ave,Aft River Valley Rd,1.29464575337351,103.8439214229312
04321,Clemenceau Ave,UE Sq,1.2921400077773,103.84303646191061
04329,Clemenceau Ave,Opp UE Sq,1.29197057108024,103.84328384973516
04331,River Valley Rd,BEF FORT CANNING STN,1.29183939431601,103.84504089382705
04339,River Valley Rd,FORT CANNING STN EXIT B,1.29221099996741,103.84500500002959
05012,Eu Tong Sen St,Bef Pearl'S Hill Terr,1.28154583300728,103.84087722199499
05013,Eu Tong Sen St,Chinatown Stn Exit C,1.28406979945936,103.84299874303983
05019,New Bridge Rd,Aft Duxton Plain Pk,1.28118388885484,103.84105000000471
05022,Eu Tong Sen St,Aft Chinatown Stn Exit D,1.28571089865595,103.84437203405348
05023,Eu Tong Sen St,Opp Hong Lim Pk,1.28692928357498,103.84540375642477
05029,Sth Bridge Rd,Boat Quay,1.28712283362119,103.84819780822524
05039,New Bridge Rd,New Bridge Ctr,1.28293819129834,103.84254276754574
05049,New Bridge Rd,Chinatown Stn Exit E,1.28531114761754,103.84455070696784
05059,New Bridge Rd,Hong Lim Pk,1.28676420118491,103.84575036447065
05069,New Bridge Rd,Outram Pk Stn Exit H,1.28027629959632,103.84029791443083
05129,Upp Pickering St,Opp One Upp Pickering,1.28601166699569,103.84634666701143
05131,Upp Cross St,Opp Hong Lim Cplx,1.284073056,103.8453381
05189,Sth Bridge Rd,Opp Sri Mariamman Tp,1.2820913960391,103.84528061446953
05199,Sth Bridge Rd,Opp Hong Lim Cplx,1.28451455846092,103.84666049314171
05239,Neil Rd,Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013
05241,Kreta Ayer Rd,Opp Blk 333,1.28071988238536,103.84227488654868
05259,Neil Rd,Aft Kreta Ayer Rd,1.27979447837032,103.84262707605177
05269,Cantonment Rd,Maxwell Rd FC,1.280894,103.844567
05271,Tg Pagar Rd,Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122
05319,Church St,OCBC Ctr,1.284437,103.849114
05411,Tg Pagar Rd,Tg Pagar Plaza,1.27519165673078,103.84309190393883
05419,Tg Pagar Rd,The Amara,1.27470669455555,103.84318683838887
05421,Tg Pagar Rd,Aft Craig Rd,1.27777470568529,103.84346347289251
05429,Tg Pagar Rd,Bef Craig Rd,1.27769413050075,103.84370654372525
05431,Hoe Chiang Rd,TOWER 15,1.27408,103.8420461
05519,Cantonment Rd,Blk 1G,1.27553472200739,103.84112694400494
05521,Cantonment Rd,Maritime Hse,1.27676861098316,103.84059222200347
05629,Cantonment Rd,Opp Southpoint,1.273211389,103.84187
05631,Cantonment Link,Blk 16,1.27346055934188,103.84034718190608
05641,Keppel Rd,Bef Cantonment Rd,1.27272393115133,103.84140618785226
05649,Keppel Rd,Opp Customs Port Br HQ,1.2723842122117,103.84093912218094
05651,Tg Pagar Rd,Opp Fuji Xerox Twrs,1.273218611,103.8430731
06011,Outram Rd,Opp Outram Pk Stn,1.28165999996967,103.83801388886192
06029,Outram Rd,Outram Pk Stn,1.28177041153491,103.8383828488293
06031,Chin Swee Rd,Opp Blk 13,1.28607055552165,103.83879166662209
06039,Chin Swee Rd,Blk 8,1.28705997883119,103.83962555611693
06049,Outram Rd,BEF OUTRAM FLYOVER,1.28474856880259,103.83517705055233
06051,Tiong Bahru Rd,Blk 55,1.28475980959972,103.83405671725487
06069,Outram Rd,Aft Furama RiverFront,1.28623157720487,103.83496162445665
06071,Zion Rd,Blk 2B,1.28685859481289,103.83360028266564
06081,Zion Rd,Blk 94,1.28837086415387,103.83349881780524
06129,Kim Seng Rd,Grand Copthorne Hotel,1.29078162052352,103.83440916705554
06131,Zion Rd,Aft Blk 87,1.29152472200833,103.83222750001508
06141,Havelock Rd,Holiday Inn Atrium,1.28963300933974,103.83381241921823
06149,Havelock Rd,Opp Holiday Inn Atrium,1.28984045728104,103.83411526676929
06151,Havelock Rd,Hotel Miramar,1.28870976841461,103.83737276969174
06159,Havelock Rd,Opp Hotel Miramar,1.28909385421188,103.8368794036018
06161,Havelock Rd,Blk 2,1.28901705678419,103.83994286096711
06169,Havelock Rd,River Pl Condo,1.28937078931125,103.83998944937589
06171,Upp Cross St,Opp State Ct,1.286101944,103.8425356
06189,Havelock Rd,Ctrl Sq,1.28779136477868,103.84329428089559
07011,Selegie Rd,Peace Ctr,1.30099699058522,103.8498101874305
07021,Selegie Rd,Selegie Ctr,1.30324521574524,103.84995776766847
07031,S'goon Rd,Tekka Ctr,1.30572083298412,103.85120583303191
07111,S'goon Rd,Broadway Hotel,1.30879366465919,103.8531751994068
07211,S'goon Rd,Aft Farrer Pk Stn Exit G,1.31313747728456,103.8563561439714
07221,S'goon Rd,Sri Vadapathira K Tp,1.314966,103.857819
07231,Kitchener Rd,Bef Tai Hoe Hotel,1.309658889,103.8573711
07241,Lavender St,Bef S'Goon Rd,1.31557142083242,103.85900616698896
07249,Lavender St,Aft Kempas Rd,1.315368056,103.8594669
07319,Jln Besar,Aft Allenby Rd,1.31038833299803,103.85870666696984
07329,Jln Besar,Hoa Nam Bldg,1.31284472583438,103.85989088288474
07331,Kitchener Rd,Aft King George's Ave,1.30824994545395,103.8589096071918
07351,Lavender St,ARC 380,1.31351833300073,103.86054527803076
07359,Lavender St,OPP ARC 380,1.31368253065979,103.86071451807119
07361,Lavender St,Bef Kallang Bahru,1.31167636068313,103.86189483728585
07369,Lavender St,Aft Kallang Bahru,1.31140805601851,103.86237888899062
07371,Lavender St,Aft Kallang Rd,1.30950750000455,103.86350138902452
07379,Lavender St,Aperia/Bef Kallang Rd,1.31017336740849,103.86338225534827
07419,Jln Besar,Opp Veerasamy Rd,1.30653024120879,103.8561630249311
07517,Bencoolen St,IBIS S'PORE ON BENCOOLEN,1.30145216158073,103.85247781934106
07518,Bencoolen St,OPP NAFA CAMPUS 3,1.30095828368506,103.85211175034802
07529,Jln Besar,JLN BESAR STN EXIT A,1.30431906266143,103.85501564257024
07531,Rochor Canal Rd,Rochor Stn,1.30365644370093,103.8525732326128
07539,Sungei Rd,Opp Rochor Stn,1.30461300741211,103.8520009720951
07551,Rochor Rd,Fu Lu Shou Cplx,1.30171975809706,103.8546132267025
07561,Middle Rd,Bef Waterloo St,1.29945446471936,103.85267983857253
07569,Middle Rd,Aft Waterloo St,1.29949531348401,103.85301395376233
07571,Middle Rd,SUNSHINE PLAZA,1.30063444632288,103.85114009314601
07589,Ophir Rd,Ch of Our Lady of Lourdes,1.30320609782822,103.85549999983388
08011,Clemenceau Ave,Opp Haw Par Glass Twr,1.29706985017362,103.84361028672502
08019,Clemenceau Ave,Aft Haw Par Glass Twr,1.29624633745957,103.84407009228418
08031,Penang Rd,Dhoby Ghaut Stn Exit B,1.29831153783592,103.8452569595532
